timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,hours,id,messageid
2023-07-01,413,20,20,69,20.5,1,0,0,1,0,1,1
2023-07-01,218,20,20,71,17.5,7,0,0,1,1,1,2
2023-07-01,138,20,20,71,11,7,0,0,1,2,1,3
2023-07-01,74,20.5,20.5,66.5,16,1,0,0,1,3,1,4
2023-07-01,71,20,20,69,12,1,0,0,1,4,1,5
2023-07-01,168,20,20,75.5,7.5,7,0,0,1,5,1,6
2023-07-01,883,20.5,20.5,75.5,7,1,0,0,1,6,1,7
2023-07-01,2736,22,22,69,12,1,0,0,1,7,1,8
2023-07-01,4779,24.5,24.5,55.5,17,1,0,0,1,8,1,9
2023-07-01,2543,27,27,48,20,1,0,0,1,9,1,10
2023-07-01,1299,30,30,43,20,1,0,0,1,10,1,11
2023-07-01,1374,33,33,34,22,1,0,0,1,11,1,12
2023-07-01,1654,32,32,36,19.5,1,0,0,1,12,1,13
2023-07-01,1753,31.5,31.5,38,21,1,0,0,1,13,1,14
2023-07-01,1710,33,33,34,18,1,0,0,1,14,1,15
2023-07-01,1904,33.5,33.5,34,22,1,0,0,1,15,1,16
2023-07-01,2575,33.5,33.5,35,21,1,0,0,1,16,1,17
2023-07-01,4617,34,34,33,20.5,1,0,0,1,17,1,18
2023-07-01,4604,34,34,33,20.5,1,0,0,1,18,1,19
2023-07-01,2883,33.5,33.5,36,14,1,0,0,1,19,1,20
2023-07-01,2061,31.5,31,36.5,17.5,1,0,0,1,20,1,21
2023-07-01,1859,29.5,29.5,45.5,21.5,1,0,0,1,21,1,22
2023-07-01,1376,27.5,28.5,54.5,18,1,0,0,1,22,1,23
2023-07-01,949,26,27,61,19.5,1,0,0,1,23,1,24
2023-07-02,140,24.5,24.5,57,20.5,1,0,0,1,0,1,25
2023-07-02,48,23.5,23.5,59,17,1,0,0,1,1,1,26
2023-07-02,100,21.5,21.5,67,21,1,0,0,1,2,1,27
2023-07-02,114,19.5,19.5,75.5,18,1,0,0,1,3,1,28
2023-07-02,105,18.5,18.5,83,18.5,2,0,0,1,4,1,29
2023-07-02,158,19,19,83,13,2,0,0,1,5,1,30
2023-07-02,779,19.5,19.5,80.5,13,2,0,0,1,6,1,31
2023-07-02,2572,20.5,20.5,73.5,12,1,0,0,1,7,1,32
2023-07-02,4641,22,22,65,7,1,0,0,1,8,1,33
2023-07-02,2469,23,23,59,15,1,0,0,1,9,1,34
2023-07-02,1295,22,22,63,13,1,0,0,1,10,1,35
2023-07-02,918,22,22,67,8.5,7,0,0,1,11,1,36
2023-07-02,1510,24,24,61,6.5,2,0,0,1,12,1,37
2023-07-02,1614,24,24,59,12,1,0,0,1,13,1,38
2023-07-02,1594,25.5,25.5,52.5,9,2,0,0,1,14,1,39
2023-07-02,1759,26,26,54,13,1,0,0,1,15,1,40
2023-07-02,2412,26,26,51,18.5,1,0,0,1,16,1,41
2023-07-02,4193,24.5,24.5,61,18.5,7,0,0,1,17,1,42
2023-07-02,4084,25,25,57,20.5,2,0,0,1,18,1,43
2023-07-02,2605,22.5,22.5,63,23,2,0,0,1,19,1,44
2023-07-02,1888,21.5,21.5,62.5,17,1,0,0,1,20,1,45
2023-07-02,1453,21,21,64,19,1,0,0,1,21,1,46
2023-07-02,1026,20.5,20.5,64,18.5,1,0,0,1,22,1,47
2023-07-02,785,19,19,68,13,1,0,0,1,23,1,48
2023-07-03,159,18,18,73,13,1,0,0,1,0,1,49
2023-07-03,279,17.5,17.5,66,10,1,0,0,1,1,1,50
2023-07-03,173,17,17,68,6.5,1,0,0,1,2,1,51
2023-07-03,121,16,16,77,5,1,0,0,1,3,1,52
2023-07-03,106,16,16,77,6,1,0,0,1,4,1,53
2023-07-03,157,15.5,15.5,79.5,6,1,0,0,1,5,1,54
2023-07-03,668,16.5,16.5,72.5,11,1,0,0,1,6,1,55
2023-07-03,2226,18,18,62,14,1,0,0,1,7,1,56
2023-07-03,4412,19.5,19.5,54.5,13,1,0,0,1,8,1,57
2023-07-03,2515,20,20,53,15,1,0,0,1,9,1,58
2023-07-03,1453,21.5,21,48.5,14,1,0,0,1,10,1,59
2023-07-03,1545,22.5,22,45.5,13,1,0,0,1,11,1,60
2023-07-03,1911,24,24,45.5,16,1,0,0,1,12,1,61
2023-07-03,1960,24,24,45.5,18.5,1,0,0,1,13,1,62
2023-07-03,2000,24.5,24.5,48.5,24,1,0,0,1,14,1,63
2023-07-03,2080,23,23,55,28,1,0,0,1,15,1,64
2023-07-03,2757,22.5,22.5,59,29,1,0,0,1,16,1,65
